,text,date,label,label_name,id
0,"The {@Clinton LumberKings@} beat the {@Cedar Rapids Kernels@} 4-0 in Game 1 of the Western Division finals. Evan Edwards hit a 2-run HR. WP Josh Roberson: 5 IP, 3 H, 0 R, 0 BB, 10 K #MWLplayoffs #MWLscoreboard",2019-09-08,4,sports_&_gaming,1170516324419866624
1,Major sidenote of the MSU game: How about the media team making custom graphics for the uniform!? Killing it!   Give em  a follow: {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}},2019-09-08,4,sports_&_gaming,1170516407135522816
2,I would rather hear Eli Gold announce this Auburn game than these dumbasses. {@ESPN@},2019-09-08,4,sports_&_gaming,1170516440690176006
3,"Someone take my phone away, I’m trying to not look at {@Chicago Blackhawks@} home game tickets in October ",2019-09-08,4,sports_&_gaming,1170516543387709440
4,"A year ago, Louisville struggled to beat an FCS opponent, ISU.  Yes they won 31-7, but score wasn’t indicative of the game flow.  Today, they are demoralizing a better FCS opponent in EKU. {@Coach Satterfield@} thank you!! {{USERNAME}} , glad you’re gone.",2019-09-08,4,sports_&_gaming,1170516620466429953
5,Anyone know why the #Dodgers #Orioles game next Thursday 9/12 is on Fox?? That’s arguably the last game on the entire schedule I’d imagine being on Fox. {@Bill Shaikin@} {@Eric Stephen@} {@David Vassegh@},2019-09-08,4,sports_&_gaming,1170516711411310592
6,"I don’t care. you gave him a shot, he is struggling put Joey in and see what he has to offer. This is the game  you decide who you want starting the Mississippi state game. {@Coach Gus Malzahn@} ‍♂️",2019-09-08,4,sports_&_gaming,1170516891053580288
7,Okay how can I watch the {@Arkansas State Football@} and UNLV game on FB?,2019-09-08,4,sports_&_gaming,1170516916554936322
8,"Check out largest crowds ever for a basketball game! Phil Arena aims to set new attendance record for FIBA World Cup final in 2023, targets over 50,000 & if FIBA allows SRO, 60,000! Incredible! {{URL}} {@The Philippine Star@} {{USERNAME}} {@Philstar Sports Hub@} ",2019-09-08,4,sports_&_gaming,1170516940902805504
9,I voted #WeWantNCAAFootball on {{USERNAME}} . It’s the best video game! {{URL}},2019-09-08,4,sports_&_gaming,1170517092489187328
10,Streaming a new game #minionmasters come stop by and join me!! {{USERNAME}} {{USERNAME}} #FearThePack #supportsmallstreamers #SmallStreamersConnect #smallstreamer #twitchaffiliate #twitch #twitchprime #subtember,2019-09-08,4,sports_&_gaming,1170546366566846464
11,Three unanswered goals by {{USERNAME}} has tied the game for {{USERNAME}} 9-9. #MannCup,2019-09-08,4,sports_&_gaming,1170546386242342912
12,"I have little to no voice left, I’m completely exhausted...and wouldn’t change it for the world. Nothing more exciting as a broadcaster to call a game winning play as time expires. Tonight was my second time calling a GW FG in a monumental {{USERNAME}} win over Georgetown.",2019-09-08,4,sports_&_gaming,1170546918780542978
